_index,_type,_id,_score,Topic,Title,Content,Date,Link,src
sci_tech,reality,MKZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,Mercedes helps make coronavirus breathing aid as F1 joins ventilators effort,"The Mercedes F1 team has helped develop a breathing aid to keep coronavirus patients out of intensive care, with a host of other rival teams having pitched in to provide UK hospitals with thousands of extra ventilators.","Monday 30 March 2020 14:42, UK",https://news.sky.com//story/coronavirus-mercedes-helps-develop-breathing-aid-as-f1-teams-join-ventilators-effort-11965584,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
sci_tech,reality,MaZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,New MI5 chief named as spy who led Skripal poisoning response,A spy who led the response to the poisoning of Russian double agent Sergei Skripal in Salisbury has been named as the new head of MI5.,"Monday 30 March 2020 14:23, UK",https://news.sky.com//story/ken-mccallum-mi5-appoints-spy-who-led-skripal-poisoning-response-as-chief-11965774,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
sci_tech,reality,MqZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,Surge of 'smishing' scams as criminals exploit coronavirus crisis,"The banking industry has warned of a surge in so-called ""smishing"" scams as criminals try to exploit the coronavirus pandemic.","Monday 30 March 2020 14:44, UK",https://news.sky.com//story/coronavirus-banks-warn-on-wave-of-text-message-smishing-scams-11965670,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
sci_tech,reality,M6ZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,Crackdown on fake coronavirus advice - from medical 'tips' to tax refunds,"The government is cracking down on fake advice spread about the coronavirus, from myths about how to treat symptoms to scam text messages warning people they face jail for leaving their homes.","Monday 30 March 2020 09:40, UK",https://news.sky.com//story/coronavirus-government-cracks-down-on-fake-advice-on-social-media-and-whatsapp-11965510,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
sci_tech,reality,NKZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,Friday night under lockdown: The streets may be silent but the fun isn't over,The weekend has arrived and the country is in lockdown.,"Saturday 28 March 2020 11:01, UK",https://news.sky.com//story/coronavirus-lockdown-the-streets-may-be-silent-but-the-fun-isnt-over-11964857,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
sci_tech,reality,NaZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,"'Data platform' will track beds, staff and ventilators","The NHS is preparing to unveil a ""data platform"" which tracks the movement of critical staff and materials, giving ministers the first ever comprehensive view of the entire health system, Sky News can reveal.","Thursday 26 March 2020 21:03, UK",https://news.sky.com//story/coronavirus-nhs-unveils-data-platform-to-track-beds-staff-and-ventilators-11964216,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
sci_tech,reality,NqZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,Mercedes helps make coronavirus breathing aid as F1 joins ventilators effort,"The Mercedes F1 team has helped develop a breathing aid to keep coronavirus patients out of intensive care, with a host of other rival teams having pitched in to provide UK hospitals with thousands of extra ventilators.","Monday 30 March 2020 14:42, UK",https://news.sky.com//story/coronavirus-mercedes-helps-develop-breathing-aid-as-f1-teams-join-ventilators-effort-11965584,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
sci_tech,reality,N6ZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,New MI5 chief named as spy who led Skripal poisoning response,A spy who led the response to the poisoning of Russian double agent Sergei Skripal in Salisbury has been named as the new head of MI5.,"Monday 30 March 2020 14:23, UK",https://news.sky.com//story/ken-mccallum-mi5-appoints-spy-who-led-skripal-poisoning-response-as-chief-11965774,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
sci_tech,reality,OKZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,Surge of 'smishing' scams as criminals exploit coronavirus crisis,"The banking industry has warned of a surge in so-called ""smishing"" scams as criminals try to exploit the coronavirus pandemic.","Monday 30 March 2020 14:44, UK",https://news.sky.com//story/coronavirus-banks-warn-on-wave-of-text-message-smishing-scams-11965670,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
sci_tech,reality,OaZgoHIBfqHYKNtbzAsB,1.0,Sci-tech,Crackdown on fake coronavirus advice - from medical 'tips' to tax refunds,"The government is cracking down on fake advice spread about the coronavirus, from myths about how to treat symptoms to scam text messages warning people they face jail for leaving their homes.","Monday 30 March 2020 09:40, UK",https://news.sky.com//story/coronavirus-government-cracks-down-on-fake-advice-on-social-media-and-whatsapp-11965510,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
